"","Feature","Gain","Cover","Frequency"
"1","Rhizobium",0.390585896288809,0.233991288478824,0.127659574468085
"2","Pseudomonas",0.142923653212903,0.0873553144035926,0.0851063829787234
"3","Streptococcus",0.124200659525499,0.112074609041896,0.0851063829787234
"4","Klebsiella",0.0649198403989251,0.0601486278821239,0.0425531914893617
"5","Clostridium",0.0522571347505335,0.0797055687586314,0.0851063829787234
"6","Acinetobacter",0.0453084904955688,0.0715850917676099,0.106382978723404
"7","Methylobacterium",0.0355917269916952,0.0237911100210927,0.0212765957446809
"8","Agrobacterium",0.0325554299187828,0.0502974987395383,0.0425531914893617
"9","Gordonia",0.0218777813862812,0.0192934688215605,0.0212765957446809
"10","Achromobacter",0.0209267068082648,0.043812077152838,0.0638297872340425
"11","Hydrogenophilus",0.0132769431611896,0.0161905256059698,0.0212765957446809
"12","Hymenobacter",0.00943553000663124,0.0158328951495595,0.0212765957446809
"13","Novosphingobium",0.00641168034510685,0.00581198728386131,0.0212765957446809
"14","Moraxella",0.00601846188457046,0.0198257268574746,0.0212765957446809
"15","Bifidobacterium",0.00579741457139368,0.0187290037028284,0.0212765957446809
"16","Leuconostoc",0.0057964910916428,0.0125461941614327,0.0212765957446809
"17","Azospirillum",0.0054136383000051,0.0145567386959116,0.0212765957446809
"18","Acidovorax",0.00501087765015955,0.0334448932698127,0.0425531914893617
"19","Staphylococcus",0.00412807100837892,0.00633148421356834,0.0212765957446809
"20","Fusobacterium",0.00307699279074793,0.0178241184000089,0.0212765957446809
"21","Noviherbaspirillum",0.00259238679145538,0.0144858890450346,0.0212765957446809
"22","Campylobacter",0.00133962650928434,0.0110571598363439,0.0212765957446809
"23","Rhodococcus",0.000308370932332404,0.0141786168672463,0.0212765957446809
"24","Deinococcus",0.000246195179839266,0.0171301118432403,0.0212765957446809
